"search_type","search_term","match_term","match_path","keyword_list_name"
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5027.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r936.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5026.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r935.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5024.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r934.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5023.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r933.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5022.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5017.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r927.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5021.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5020.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r930.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r502.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r93.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5019.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r929.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5018.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r928.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r947.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5036.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r946.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5035.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r945.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5034.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r943.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5033.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r942.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5032.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r941.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5031.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r940.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5030.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r94.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r503.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r939.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5029.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r938.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5028.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5005.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r915.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5004.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r914.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5003.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r913.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5012.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r921.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5011.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5016.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r925.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5015.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r924.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5014.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r923.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5013.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r922.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5008.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r917.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5006.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r916.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r920.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5010.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r92.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r501.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r919.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5009.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r918.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1219.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1218.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1217.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1216.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1215.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1214.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1213.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1212.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1211.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1210.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r118.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1179.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1190.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1189.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1188.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1186.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1185.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1184.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1183.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1181.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1180.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r117.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1169.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1168.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1178.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1177.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1176.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1175.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1174.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1173.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1172.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1170.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r121.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1209.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1208.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1206.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1205.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1204.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1203.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1202.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1201.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1200.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1191.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r120.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r12.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1199.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1198.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1197.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1196.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1195.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1194.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1193.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1192.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1140.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r114.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1139.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1138.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1137.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r643.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1145.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1144.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1143.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1142.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1141.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1133.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r392.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1132.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r3594.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1131.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r327.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1130.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1136.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r4864.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1134.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r454.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1160.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r116.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1159.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1158.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1167.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1166.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1165.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1164.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1163.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1162.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1161.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1150.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r115.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1149.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1148.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1147.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1157.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1156.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1155.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1154.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1152.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1151.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r2946.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r113.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r2621.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1123.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1122.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1121.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1120.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r112.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1119.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1118.txt",""
