"search_type","search_term","match_term","match_path","keyword_list_name"
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2315.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2314.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2313.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2312.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2276.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2258.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r224.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2221.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2203.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2186.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2168.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r215.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2131.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2113.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2096.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2078.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r206.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2041.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2023.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2005.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2334.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2333.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2332.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2331.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2330.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2329.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2328.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2327.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2326.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2325.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2324.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2323.txt",""
